True,name,BAT_all_dprime,BAT_fast_dprime,BAT_med_dprime,BAT_slow_dprime,BAT_all_hits,BAT_fast_hits,BAT_med_hits,BAT_slow_hits,BAT_all_fa,BAT_fast_fa,BAT_med_fa,BAT_slow_fa,DurDisc_threshold,Anisochrony_tones_threshold,Anisochrony_music_threshold,Unpaced_spontaneous_right_CV_iti,Unpaced_spontaneous_final_right_CV_iti,Unpaced_fast_CV_iti,Unpaced_slow_CV_iti,Unpaced_spontaneous_right_mean_iti,Unpaced_spontaneous_final_right_mean_iti,Unpaced_fast_mean_iti,Unpaced_slow_mean_iti,Paced_metro_450_mean_CV_iti,Paced_metro_450_vecDirPct,Paced_metro_450_mean_vector_direction,Paced_metro_450_vecLenLogit,Paced_metro_600_mean_CV_iti,Paced_metro_600_vecDirPct,Paced_metro_600_mean_vector_direction,Paced_metro_600_vecLenLogit,Paced_metro_750_mean_CV_iti,Paced_metro_750_vecDirPct,Paced_metro_750_mean_vector_direction,Paced_metro_750_vecLenLogit,Paced_music_badine_mean_CV_iti,Paced_music_badine_vecDirPct,Paced_music_badine_mean_vector_direction,Paced_music_badine_vecLenLogit,Paced_music_ross_mean_CV_iti,Paced_music_ross_vecDirPct,Paced_music_ross_mean_vector_direction,Paced_music_ross_vecLenLogit,Adaptive_adaptation_index_acceleration,Adaptive_adaptation_index_deceleration,Adaptive_iso_600_CV_iti,Adaptive_minus_30_dprime2,Adaptive_minus_75_dprime2,Adaptive_plus_30_dprime2,Adaptive_plus_75_dprime2,SyncCont_metro_450_mean_CV_iti,SyncCont_metro_600_mean_CV_iti,SyncCont_metro_750_mean_CV_iti,SyncCont_metro_450_mean_mean_iti,SyncCont_metro_600_mean_mean_iti,SyncCont_metro_750_mean_mean_iti
0,idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,loss_null,0.8838,0.6416,0.6463,0.59,256.375,327.7408,345.7561,275.9759,73.6085,222.5694,64.7768,76.0509,180.9228,24.7015,54.7912,0.0046,0.0039,0.0039,0.025,34923.5637,17591.2127,15009.915,127917.4483,0.0438,37.6341,712.8356,0.4459,0.0024,29.7929,485.9675,0.7222,0.0067,20.7906,296.4328,0.765,0.0244,22.3226,398.7858,1.783,0.0458,37.1399,746.8117,2.1806,0.2471,0.1985,0.013,0.7121,0.2905,0.7227,0.3716,0.0007,0.0023,0.0476,1646.7345,5035.7953,13480.0507
2,loss_alternative,0.8207,0.562,0.5248,0.4046,262.5737,273.1463,286.1107,220.1245,72.8561,202.1015,65.0812,67.2472,184.6239,19.5646,48.0088,0.0061,0.0054,0.0113,0.0109,35285.0916,13208.9926,16050.712,114327.0512,0.017,27.5181,622.3745,0.3414,0.0118,23.4308,385.403,0.4583,0.0127,18.5076,252.6859,0.5933,0.0014,18.7481,359.6344,1.5565,0.0546,35.6502,598.7705,1.7437,0.2512,0.1294,0.0025,0.6253,0.2152,0.5465,0.3143,0.0054,0.0088,0.0009,1966.4369,4137.8818,9683.1678
3,p_loss,0.266,0.098,0.0,0.0,0.564,0.026,0.022,0.003,0.434,0.049,0.52,0.085,0.672,0.0,0.001,0.606,0.649,0.81,0.226,0.548,0.009,0.88,0.036,0.201,0.0,0.002,0.0,0.833,0.0,0.0,0.004,0.714,0.014,0.001,0.054,0.046,0.0,0.148,0.089,0.56,0.173,0.0,0.0,0.523,0.028,0.15,0.001,0.01,0.005,0.186,0.946,0.832,0.081,0.788,0.268,0.122
4,sig_loss,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No
5,corr_null,0.2635,0.2252,0.2335,0.2387,0.1558,0.1638,0.1864,0.1738,0.2303,0.2222,0.2079,0.2333,0.2019,0.1998,0.2,0.3258,0.3063,0.308,0.3063,0.1223,0.1257,0.1706,0.1221,0.2781,0.2326,0.2004,0.2269,0.3069,0.2335,0.1591,0.179,0.3034,0.2323,0.2056,0.247,0.2877,0.2233,0.2004,0.2026,0.3006,0.2273,0.2323,0.2343,0.279,0.2632,0.3075,0.2622,0.2186,0.2112,0.2345,0.2691,0.3041,0.2807,0.1361,0.166,0.1247
6,corr_alternative,0.4633,0.4503,0.4479,0.5216,0.4018,0.4238,0.3781,0.3592,0.3785,0.2943,0.3453,0.3474,0.2396,0.5051,0.4371,0.3495,0.2899,0.3493,0.3176,0.2632,0.3857,0.1062,0.2329,0.3646,0.5001,0.416,0.4354,0.346,0.4117,0.4031,0.5582,0.3379,0.3702,0.3226,0.5595,0.349,0.409,0.405,0.3431,0.3243,0.3038,0.272,0.4952,0.1736,0.4598,0.3566,0.3372,0.3179,0.4704,0.4376,0.314,0.3213,0.324,0.3102,0.1869,0.2091
7,p_corr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.069,0.0,0.0,0.152,0.768,0.029,0.334,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.156,0.0,0.024,0.0,1.0,0.0,0.018,0.0,0.0,0.0,0.0,0.015,0.226,0.033,0.0,0.205,0.001
8,sig_corr,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
9,r2_null,-0.0675,-0.0576,-0.0522,-0.0671,-0.3757,-0.1872,-0.3547,-0.3539,0.0172,0.0126,0.0176,0.0184,-0.0169,-0.0154,-0.0062,-35.3001,-22.7239,-20.0321,-72.2858,-0.2009,-0.5275,-0.0849,-0.18,-317.2062,0.0164,-0.0085,-0.097,-24.427,0.0137,-0.0077,-0.182,-65.3544,0.0146,0.0184,-0.1119,-120.5245,0.0212,0.0049,-0.0258,-91.3591,0.0193,0.0177,-0.0214,-0.2719,-0.3905,-54.4326,-0.0003,-0.4388,-0.1429,-0.4684,-2.6501,-18.7485,-339.1558,-4.4658,-9.0767,-10.0732
10,r2_alternative,-0.0132,0.0579,0.1323,0.2164,-0.3031,-0.0229,-0.1827,-0.2387,0.1214,0.0613,0.0937,0.1217,-0.0212,0.2107,0.1363,-31.9042,-30.8636,-46.2611,-20.1807,-0.0924,-0.067,-0.1449,-0.1131,-112.4066,0.2208,0.1424,0.061,-130.8624,0.1463,0.1647,0.1895,-74.6358,0.1451,0.1102,0.1597,-2.2946,0.1277,0.1124,0.0218,-134.3718,0.0536,0.0393,0.1939,-0.4304,0.1518,-15.6341,0.0783,-0.1319,0.1861,-0.0523,-36.6502,-88.2353,-6.5846,-5.7813,-8.5422,-6.6206
